incident_id,Incident_date,state,city_or_county,address,killed,injured
1313291,2019-01-26,Pennsylvania,Ephrata,612 Bergen St,1,3
2108302,2021-09-05,Pennsylvania,Erie,N Socrum Loop Rd and Fulton Green Rd,4,2
1441613,2019-07-07,Pennsylvania,Erie,N Tucker Blvd and Convention Plaza,0,5
946496,2017-10-01,Pennsylvania,Erie,3950 Las Vegas Blvd S,59,441
561912,2016-05-18,New Mexico,Espanola (Española),34th Street and North Keystone Avenue,0,4
1173069,2018-07-26,Maryland,Essex,73rd Ave and Bancroft Ave,2,2
763313,2017-01-29,Louisiana,Eunice,6363 Hearne Ave,1,4
1586839,2020-01-02,Alabama,Eutaw,6120 3rd Ave,0,4
1622406,2020-02-16,Alabama,Eutaw (Union),451 Franklin Ave,1,5
1992469,2021-05-01,Illinois,Evanston,1117 Harlem Academy Ave,1,3
2107476,2021-09-04,Illinois,Evanston,1400 block of S Tripp Ave,0,5
740447,2016-12-31,Indiana,Evansville,27 Briarwood Ct,2,2
1834280,2020-10-25,Indiana,Evansville,1731 Trawick Rd,1,3
1941210,2021-02-28,Indiana,Evansville,13484 Northwest Fwy,0,4
1156480,2018-07-05,Indiana,Evansville,280 Herkimer St,0,4
517895,2016-03-07,Indiana,Evansville,800 block of Martin Luther King Jr. Drive,0,4
1812049,2020-10-01,Indiana,Evansville,15018 Houston Whittier St,0,5
1424957,2019-06-17,Indiana,Evansville,2872 Coach Dr,0,5
437323,2015-10-26,Indiana,Evansville,711 E Virginia St,0,5
1655674,2020-04-08,Washington,Everett,1200 block of Payton St,0,4
1434602,2019-06-28,Minnesota,Excelsior (Greenwood),937 Choate Ave,0,5
1399820,2019-05-19,Virginia,Exmore,226 SE Madison St,0,5
1640007,2020-03-14,Alabama,Fairfield,4100 block of Gallagher St,2,2
1459389,2019-07-27,Virginia,Fairfield,505 N Rock Rd,1,3
501233,2016-02-07,California,Fairfield,7432 Universal Blvd,2,10
1876727,2020-12-13,North Carolina,Fayetteville,1384 Cemetery Hill Dr,4,0
913924,2017-08-14,North Carolina,Fayetteville,Morrison St and Klump Ave,2,2
1318187,2019-02-01,North Carolina,Fayetteville,6800 block of Springfield St,0,4
